video_id,subject_consistency,background_consistency,motion_smoothness,dynamic_degree,aesthetic_quality,imaging_quality
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.7270560511227312,0.9399582435344828,0.7590735014005603,0.0,0.1772288978099823,32.517819023132326
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0
25,0.6112889657417934,0.9024007161458333,0.7488939084967321,0.0,0.18952344357967377,35.30475862564579
26,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0
29,0.9725897337605314,0.9750351324314024,0.9765244009141406,1.0,0.4450332820415497,63.603455692888744
3,0.9614219209369348,0.9788544323979592,0.7888543790849674,0.0,0.27961254119873047,48.55198226928711
30,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0
34,0.6431454776814489,0.8117305871212122,0.7081009625668448,0.0,0.38118860125541687,48.31339554288494
35,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0
39,0.6818232705195745,0.9478190104166667,0.5707315032679737,0.0,0.21570897102355957,38.15973460674286
4,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0
41,0.6891103893518448,0.9375732421875,0.5010220479302833,0.0,0.2394835501909256,39.89917336740801
42,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0
46,0.7955574715760216,0.8864491021455224,0.6888782729253318,0.0,0.3010644018650055,48.94737563413732
5,0.7227349353512538,0.8814055452641752,0.7247184531590414,0.0,0.3394947350025177,46.4153738216478
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
AVERAGE,0.1447814514051518,0.1757707662052075,0.13759143467544416,0.02127659574468085,0.05464549838228429,8.547086565612231
