video_id,subject_consistency,background_consistency,motion_smoothness,dynamic_degree,aesthetic_quality,imaging_quality
video_001,0.0,0.0,0.0,0.0,0.0,0.0
video_002,0.9098963604441712,0.949519566127232,0.8004204784161211,0.0,0.3300717771053314,46.32813416865834
video_003,0.0,0.0,0.0,0.0,0.0,0.0
video_004,0.8422826490341089,0.9215119190705128,0.7455174794704206,0.0,0.3148878216743469,42.51000947590116
video_005,0.0,0.0,0.0,0.0,0.0,0.0
video_006,0.0,0.0,0.0,0.0,0.0,0.0
video_007,0.0,0.0,0.0,0.0,0.0,0.0
video_008,0.0,0.0,0.0,0.0,0.0,0.0
video_009,0.0,0.0,0.0,0.0,0.0,0.0
video_010,0.0,0.0,0.0,0.0,0.0,0.0
video_011,0.9408570086956024,0.96322265625,0.8046118616505613,1.0,0.3861221671104431,45.25903223075119
video_012,0.7815344348549843,0.9073486328125,0.8053081423384169,0.0,0.3202745616436004,35.66531873011327
video_013,0.0,0.0,0.0,0.0,0.0,0.0
video_014,0.0,0.0,0.0,0.0,0.0,0.0
video_015,0.0,0.0,0.0,0.0,0.0,0.0
video_016,0.0,0.0,0.0,0.0,0.0,0.0
video_017,0.0,0.0,0.0,0.0,0.0,0.0
video_018,0.0,0.0,0.0,0.0,0.0,0.0
video_019,0.0,0.0,0.0,0.0,0.0,0.0
video_020,0.0,0.0,0.0,0.0,0.0,0.0
video_021,0.0,0.0,0.0,0.0,0.0,0.0
video_022,0.0,0.0,0.0,0.0,0.0,0.0
video_023,0.0,0.0,0.0,0.0,0.0,0.0
video_024,0.0,0.0,0.0,0.0,0.0,0.0
video_025,0.0,0.0,0.0,0.0,0.0,0.0
video_026,0.8209918785308089,0.9005911690848214,0.7386825670439116,0.0,0.3025625944137573,50.55487626019646
video_027,0.0,0.0,0.0,0.0,0.0,0.0
video_028,0.0,0.0,0.0,0.0,0.0,0.0
video_029,0.9283753896968951,0.9434442934782608,0.9882966040478808,1.0,0.3680589497089386,44.7821626663208
video_030,0.0,0.0,0.0,0.0,0.0,0.0
video_031,0.0,0.0,0.0,0.0,0.0,0.0
video_032,0.0,0.0,0.0,0.0,0.0,0.0
video_033,0.0,0.0,0.0,0.0,0.0,0.0
video_034,0.0,0.0,0.0,0.0,0.0,0.0
video_035,0.9265715959999296,0.939652054398148,0.762790960034682,1.0,0.3566471636295318,53.6696779424494
video_036,0.0,0.0,0.0,0.0,0.0,0.0
video_037,0.0,0.0,0.0,0.0,0.0,0.0
video_038,0.0,0.0,0.0,0.0,0.0,0.0
video_039,0.8707972606023152,0.942568824404762,0.8139330708368583,1.0,0.394717812538147,35.560698995050394
video_040,0.0,0.0,0.0,0.0,0.0,0.0
video_041,0.0,0.0,0.0,0.0,0.0,0.0
video_042,0.0,0.0,0.0,0.0,0.0,0.0
video_043,0.7757962136024452,0.8642666368599398,0.8745014889207716,0.0,0.2933050394058227,34.552691902433125
