video_id,subject_consistency,background_consistency,motion_smoothness,dynamic_degree,aesthetic_quality,imaging_quality
video_001,0.0,0.0,0.0,0.0,0.0,0.0
video_002,0.0,0.0,0.0,0.0,0.0,0.0
video_003,0.0,0.0,0.0,0.0,0.0,0.0
video_004,0.0,0.0,0.0,0.0,0.0,0.0
video_005,0.0,0.0,0.0,0.0,0.0,0.0
video_006,0.0,0.0,0.0,0.0,0.0,0.0
video_007,0.0,0.0,0.0,0.0,0.0,0.0
video_008,0.0,0.0,0.0,0.0,0.0,0.0
video_009,0.0,0.0,0.0,0.0,0.0,0.0
video_010,0.0,0.0,0.0,0.0,0.0,0.0
video_011,0.0,0.0,0.0,0.0,0.0,0.0
video_012,0.0,0.0,0.0,0.0,0.0,0.0
video_013,0.0,0.0,0.0,0.0,0.0,0.0
video_014,0.0,0.0,0.0,0.0,0.0,0.0
video_015,0.0,0.0,0.0,0.0,0.0,0.0
video_016,0.0,0.0,0.0,0.0,0.0,0.0
video_017,0.0,0.0,0.0,0.0,0.0,0.0
video_018,0.0,0.0,0.0,0.0,0.0,0.0
video_019,0.0,0.0,0.0,0.0,0.0,0.0
video_020,0.0,0.0,0.0,0.0,0.0,0.0
video_021,0.0,0.0,0.0,0.0,0.0,0.0
video_022,0.0,0.0,0.0,0.0,0.0,0.0
video_023,0.0,0.0,0.0,0.0,0.0,0.0
video_024,0.0,0.0,0.0,0.0,0.0,0.0
video_025,0.0,0.0,0.0,0.0,0.0,0.0
video_026,0.7978873550891876,0.944091796875,0.0,0.0,0.1075055822730064,35.206402914864675
video_027,0.0,0.0,0.0,0.0,0.0,0.0
video_028,0.0,0.0,0.0,0.0,0.0,0.0
video_029,0.0,0.0,0.0,0.0,0.0,0.0
video_030,0.0,0.0,0.0,0.0,0.0,0.0
video_031,0.0,0.0,0.0,0.0,0.0,0.0
video_032,0.0,0.0,0.0,0.0,0.0,0.0
video_033,0.0,0.0,0.0,0.0,0.0,0.0
video_034,0.0,0.0,0.0,0.0,0.0,0.0
video_035,0.0,0.0,0.0,0.0,0.0,0.0
video_036,0.0,0.0,0.0,0.0,0.0,0.0
video_037,0.0,0.0,0.0,0.0,0.0,0.0
video_038,0.0,0.0,0.0,0.0,0.0,0.0
video_039,0.0,0.0,0.0,0.0,0.0,0.0
video_040,0.0,0.0,0.0,0.0,0.0,0.0
video_041,0.0,0.0,0.0,0.0,0.0,0.0
video_042,0.0,0.0,0.0,0.0,0.0,0.0
video_043,0.0,0.0,0.0,0.0,0.0,0.0
video_044,0.0,0.0,0.0,0.0,0.0,0.0
video_045,0.0,0.0,0.0,0.0,0.0,0.0
video_046,0.0,0.0,0.0,0.0,0.0,0.0
video_047,0.0,0.0,0.0,0.0,0.0,0.0
